event_id,observed_at,low_usd
17213259,2026-05-10T10:01:24.515146+00:00,707
17213259,2026-05-10T11:09:59.436375+00:00,707
17213259,2026-05-10T12:03:36.003143+00:00,707
17213259,2026-05-10T13:52:23.261923+00:00,707
17213259,2026-05-10T14:49:13.798200+00:00,694
17213259,2026-05-10T15:40:25.702632+00:00,694
17213259,2026-05-10T16:37:28.368294+00:00,694
17213259,2026-05-10T17:37:26.880629+00:00,694
17213259,2026-05-10T18:39:09.856896+00:00,694
17213259,2026-05-10T19:46:08.496481+00:00,694
17213259,2026-05-10T20:33:30.508534+00:00,694
17213259,2026-05-10T21:31:01.484015+00:00,694
17213259,2026-05-11T11:52:26.167806+00:00,707
17213259,2026-05-11T14:41:34.429545+00:00,672
17213259,2026-05-11T17:13:50.867288+00:00,672
17213259,2026-05-11T19:13:41.102874+00:00,672
17213259,2026-05-11T22:12:36.387928+00:00,668
17213259,2026-05-11T23:13:49.932600+00:00,668
17213259,2026-05-12T06:49:57.309712+00:00,668
17213259,2026-05-12T09:29:24.684477+00:00,668
17213259,2026-05-12T11:33:06.940994+00:00,668
17213259,2026-05-12T13:25:11.846620+00:00,668
17213259,2026-05-12T16:06:09.176390+00:00,641
17213259,2026-05-12T18:16:54.051626+00:00,641
17213259,2026-05-12T20:12:16.623274+00:00,641
17213259,2026-05-12T21:42:05.302620+00:00,641
17213259,2026-05-12T22:48:27.585337+00:00,641
17213259,2026-05-12T23:46:48.053597+00:00,641
17213259,2026-05-13T01:45:49.859880+00:00,641
17213259,2026-05-13T05:36:43.991904+00:00,654
17213259,2026-05-13T08:22:53.764806+00:00,654
17213259,2026-05-13T18:11:48.136643+00:00,654
17213259,2026-05-13T23:58:02.509680+00:00,654
17213259,2026-05-14T04:07:13.729813+00:00,654
17213259,2026-05-14T07:20:33.644493+00:00,654
17213259,2026-05-14T09:43:25.123571+00:00,654
17213259,2026-05-14T11:30:17.598570+00:00,654
17213259,2026-05-14T13:17:37.936046+00:00,654
17213259,2026-05-14T15:38:21.069461+00:00,657
17213259,2026-05-14T17:26:51.696181+00:00,657
17213259,2026-05-14T19:20:44.040754+00:00,671
17213259,2026-05-14T20:50:51.892311+00:00,671
17213259,2026-05-14T22:03:31.336908+00:00,677
17213259,2026-05-14T23:10:08.180742+00:00,677
17213259,2026-05-15T00:10:33.572781+00:00,677
17213259,2026-05-15T04:19:23.154321+00:00,677
17213259,2026-05-15T07:39:49.984969+00:00,677
17213259,2026-05-15T10:07:30.875051+00:00,677
17213259,2026-05-15T12:07:16.444242+00:00,677
17213259,2026-05-15T14:34:44.783171+00:00,677
17213259,2026-05-15T16:23:11.707921+00:00,677
17213259,2026-05-15T18:02:33.527063+00:00,677
17213259,2026-05-15T19:51:55.570406+00:00,677
17213259,2026-05-15T20:56:47.558926+00:00,677
17213259,2026-05-15T22:05:03.705224+00:00,677
17213259,2026-05-15T23:10:37.491644+00:00,677
17213259,2026-05-16T00:08:05.031789+00:00,677
17213259,2026-05-16T04:01:26.461985+00:00,677
17213259,2026-05-16T06:30:51.401408+00:00,677
17213259,2026-05-16T08:26:23.325903+00:00,677
17213259,2026-05-16T09:59:44.396978+00:00,677
17213259,2026-05-16T11:12:20.988571+00:00,677
17213259,2026-05-16T12:08:20.827467+00:00,677
17213259,2026-05-16T13:59:35.237781+00:00,677
17213259,2026-05-16T15:08:54.781488+00:00,677
17213259,2026-05-16T16:09:41.704713+00:00,677
17213259,2026-05-16T17:16:15.600554+00:00,677
17213259,2026-05-16T18:10:33.025532+00:00,677
17213259,2026-05-16T19:34:40.977082+00:00,677
17213259,2026-05-16T20:25:52.295232+00:00,677
17213259,2026-05-16T21:25:53.513518+00:00,677
17213259,2026-05-16T22:23:52.367885+00:00,677
17213259,2026-05-16T23:26:51.264625+00:00,677
17213259,2026-05-17T01:25:45.084041+00:00,677
17213259,2026-05-17T05:28:00.150946+00:00,717
